,X data,Y data,Core,Border,Noise,Cluster#
0,-0.4547335699067,0.07414282618261,1.0,0.0,0.0,0.0
1,-0.1272023201774,0.1490135004503,1.0,0.0,0.0,0.0
2,-0.08010498259433,0.05138727270304,1.0,0.0,0.0,0.0
3,-0.1149979322126,-0.05939643225261,1.0,0.0,0.0,0.0
4,-0.1882524121424,0.01128901588923,1.0,0.0,0.0,0.0
5,-0.8728313990777,-0.01970749624575,1.0,0.0,0.0,0.0
6,-0.1546908760027,0.04435246325984,1.0,0.0,0.0,0.0
7,-0.1281689173343,-0.08902115864992,1.0,0.0,0.0,0.0
8,0.05203179781222,0.2952359692502,1.0,0.0,0.0,0.0
9,-0.1531068154875,0.3515233280762,1.0,0.0,0.0,0.0
10,-0.3572759142073,0.02716189663254,1.0,0.0,0.0,0.0
11,-0.1845346692557,0.1609512584325,1.0,0.0,0.0,0.0
12,0.1009611416088,0.2518918504612,1.0,0.0,0.0,0.0
13,0.3686266485073,0.3668007867962,1.0,0.0,0.0,0.0
14,-0.1564118653522,0.2939914315285,1.0,0.0,0.0,0.0
15,-0.1136611114564,0.2913950424371,1.0,0.0,0.0,0.0
16,-0.2835190729846,0.134758273664,1.0,0.0,0.0,0.0
17,-0.605340482978,0.01910828004829,1.0,0.0,0.0,0.0
18,0.2029405098773,0.3711741574669,1.0,0.0,0.0,0.0
19,0.01426997559173,-0.01370001580674,1.0,0.0,0.0,0.0
20,-0.3004125179321,0.3021133677195,1.0,0.0,0.0,0.0
21,-0.245334069385,0.2924691134403,1.0,0.0,0.0,0.0
22,0.07031136900474,0.6128217180448,1.0,0.0,0.0,0.0
23,-0.07150285864278,0.2749067908674,1.0,0.0,0.0,0.0
24,-0.05052028178643,0.1381446565219,1.0,0.0,0.0,0.0
25,-0.08317103506753,0.307952959328,1.0,0.0,0.0,0.0
26,-0.3326330874733,0.2214616211909,1.0,0.0,0.0,0.0
27,-0.48582436568139997,0.1164629917889,1.0,0.0,0.0,0.0
28,0.067769289402,0.5045285478191,1.0,0.0,0.0,0.0
29,0.1322390086103,0.2301156890982,1.0,0.0,0.0,0.0
30,-0.67091400866,0.09098555207799,1.0,0.0,0.0,0.0
31,-0.1435864765346,0.2845020997268,1.0,0.0,0.0,0.0
32,-0.0423286363541,0.3550761787737,1.0,0.0,0.0,0.0
33,-0.009247922286282,0.1482630568816,1.0,0.0,0.0,0.0
34,-0.197377659532,0.1579737518878,1.0,0.0,0.0,0.0
